id_camera,nm_camera,nm_fabricante,id_tipo_camera
9032,Canon EOS RP,CANON,87
9034,Canon EOS-1D X,CANON,87
9035,Canon EOS 5D Mark II,CANON,87
9036,Canon EOS 5D Mark III,CANON,87
9037,Canon EOS 5D Mark IV,CANON,87
9038,Canon EOS 60D,CANON,87
9039,Canon EOS 77D,CANON,87
9040,Canon EOS 7D,CANON,87
9041,Canon EOS 80D,CANON,87
9042,Canon EOS R6,CANON,87
9043,Canon EOS REBEL T5,CANON,87
9044,Canon EOS Rebel T6i,CANON,87
9046,ELS-NX9,HUAWEI,91
9047,E-M1MarkII      ,OLYMPUS,91
9048,E-M1MarkIII,OLYMPUS,91
9049,E-M1X,OLYMPUS,91
9050,ILCE-7M3,SONY,90
9051,ILCE-9M2,SONY,90
9052,iPhone 7,APPLE,91
9053,LEICA M10-R,LEICA,91
9054,M2007J3SG,XIAOMI,91
9055,NIKON D4S,NIKON,87
9056,NIKON D5,NIKON,87
9057,NIKON D500,NIKON,87
9058,NIKON D5200,NIKON,87
9059,NIKON D7200,NIKON,87
9060,NIKON D780,NIKON,87
9061,NIKON D810,NIKON,87
9062,NIKON D850,NIKON,87
9063,NIKON Z 6,NIKON,90
9064,SM-G970U,SAMSUNG,91
9065,X-H1,FUJIFILM,91
9066,X-Pro2,FUJIFILM,91
9067,ILCA-68,SONY,91
9068,Canon EOS 760D,CANON,87
9069,SM-G950F,SAMSUNG,91
9070,PENTAX K-70,RICOH,87
9071,DSC-W800,SONY,91
9072,DSC-HX100V             ,SONY,91
9073,MAR-LX1A,HUAWEI,91
9074,DSC-HX300,SONY,91
9075,E-M5MarkII      ,OLYMPUS,91
9076,iPhone 11 Pro Max,APPLE,91
9077,iPhone 12 Pro Max,APPLE,91
9078,COOLPIX A900,NIKON,91
9080,DMC-FZ200,PANASONIC,91
9081,Canon EOS 500D,CANON,87
9082,iPhone XS,APPLE,91
9083,BKL-L09,HUAWEI,91
9086,NIKON Z 7,NIKON,90
9087,Canon EOS 800D,CANON,87
9088,KB2003,ONEPLUS,91
9089,Canon EOS 1100D,CANON,87
9090,E-520           ,OLYMPUS,91
9091,Canon EOS 600D,CANON,87
9092,SLT-A55V,SONY,91
9093,E-M5MarkIII     ,OLYMPUS,91
9094,DSC-RX10M3,SONY,91
9095,SM-G975U1,SAMSUNG,91
9096,DMC-TX1,PANASONIC,91
9098,Canon EOS Rebel T7i,CANON,87
9099,SM-G920F,SAMSUNG,91
