id_tempo,nu_dia,nu_mes,nu_ano,nu_trimestre,nu_semestre,dt_tempo
94611,6,8,2021,3,2,2021-08-06
94633,15,7,2021,3,2,2021-07-15
94634,3,10,2018,4,2,2018-10-03
94635,30,8,2021,3,2,2021-08-30
94636,4,9,2013,3,2,2013-09-04
94637,10,5,2019,2,1,2019-05-10
94639,22,8,2021,3,2,2021-08-22
94642,28,8,2021,3,2,2021-08-28
94643,17,7,2021,3,2,2021-07-17
94644,27,8,2021,3,2,2021-08-27
94647,4,10,2008,4,2,2008-10-04
94648,19,6,2010,2,1,2010-06-19
94649,26,6,2019,2,1,2019-06-26
94650,23,6,2018,2,1,2018-06-23
94651,7,6,2019,2,1,2019-06-07
94652,25,6,2019,2,1,2019-06-25
94653,1,5,2021,2,1,2021-05-01
94657,20,3,2019,1,1,2019-03-20
94658,31,5,2020,2,1,2020-05-31
94663,8,5,2021,2,1,2021-05-08
94674,27,2,2020,1,1,2020-02-27
94675,31,8,2021,3,2,2021-08-31
94678,13,8,2021,3,2,2021-08-13
94679,11,9,2021,3,2,2021-09-11
94685,7,8,2021,3,2,2021-08-07
94694,4,9,2021,3,2,2021-09-04
94695,3,9,2020,3,2,2020-09-03
94696,5,9,2021,3,2,2021-09-05
94707,10,8,2021,3,2,2021-08-10
94728,3,9,2021,3,2,2021-09-03
94730,26,6,2021,2,1,2021-06-26
94750,30,5,2021,2,1,2021-05-30
94756,4,4,2021,2,1,2021-04-04
94757,14,8,2021,3,2,2021-08-14
94766,2,9,2021,3,2,2021-09-02
94771,21,5,2021,2,1,2021-05-21
94773,26,8,2021,3,2,2021-08-26
94777,29,8,2021,3,2,2021-08-29
94779,12,10,2020,4,2,2020-10-12
94782,1,9,2021,3,2,2021-09-01
94789,30,7,2021,3,2,2021-07-30
94808,24,7,2021,3,2,2021-07-24
94820,7,9,2021,3,2,2021-09-07
94822,4,7,2021,3,2,2021-07-04
94829,25,8,2021,3,2,2021-08-25
94830,28,8,2020,3,2,2020-08-28
94849,9,2,2017,1,1,2017-02-09
94850,7,2,2017,1,1,2017-02-07
94857,24,8,2021,3,2,2021-08-24
94864,3,7,2021,3,2,2021-07-03
94872,15,6,2021,2,1,2021-06-15
94912,9,1,2020,1,1,2020-01-09
94928,16,9,2019,3,2,2019-09-16
94951,23,4,2015,2,1,2015-04-23
94954,12,8,2021,3,2,2021-08-12
94955,15,11,2012,4,2,2012-11-15
94962,21,8,2021,3,2,2021-08-21
94977,24,8,2020,3,2,2020-08-24
94980,17,3,2021,1,1,2021-03-17
94996,20,8,2021,3,2,2021-08-20
95012,14,6,2021,2,1,2021-06-14
95023,20,8,2020,3,2,2020-08-20
95034,15,8,2020,3,2,2020-08-15
95035,5,5,2021,2,1,2021-05-05
95056,26,3,2019,1,1,2019-03-26
95062,12,9,2017,3,2,2017-09-12
95068,18,7,2021,3,2,2021-07-18
95083,5,6,2021,2,1,2021-06-05
95097,20,3,2021,1,1,2021-03-20
95106,28,4,2021,2,1,2021-04-28
95117,15,3,2020,1,1,2020-03-15
95155,14,3,2021,1,1,2021-03-14
95156,17,6,2021,2,1,2021-06-17
95163,29,2,2020,1,1,2020-02-29
95172,6,8,2020,3,2,2020-08-06
95174,6,9,2021,3,2,2021-09-06
95190,31,7,2021,3,2,2021-07-31
95213,1,8,2021,3,2,2021-08-01
95215,11,11,2016,4,2,2016-11-11
95216,18,8,2021,3,2,2021-08-18
95218,16,8,2021,3,2,2021-08-16
95221,5,8,2021,3,2,2021-08-05
95226,17,8,2021,3,2,2021-08-17
95235,24,4,2021,2,1,2021-04-24
95236,21,7,2021,3,2,2021-07-21
95241,13,4,2021,2,1,2021-04-13
95243,15,8,2021,3,2,2021-08-15
95245,16,8,2020,3,2,2020-08-16
95246,11,8,2021,3,2,2021-08-11
95250,13,4,2014,2,1,2014-04-13
95253,9,8,2021,3,2,2021-08-09
95256,10,4,2021,2,1,2021-04-10
95277,1,10,2011,4,2,2011-10-01
95280,21,8,2012,3,2,2012-08-21
95288,8,9,2021,3,2,2021-09-08
95289,19,4,2017,2,1,2017-04-19
95308,3,6,2021,2,1,2021-06-03
95309,14,8,2020,3,2,2020-08-14
95329,25,4,2021,2,1,2021-04-25
95337,14,7,2021,3,2,2021-07-14
95338,6,9,2020,3,2,2020-09-06
95349,23,4,2021,2,1,2021-04-23
95356,27,11,2020,4,2,2020-11-27
95358,29,7,2021,3,2,2021-07-29
95359,15,1,2021,1,1,2021-01-15
95377,18,8,2020,3,2,2020-08-18
95387,13,11,2020,4,2,2020-11-13
95389,22,4,2021,2,1,2021-04-22
95394,11,7,2021,3,2,2021-07-11
95414,19,7,2021,3,2,2021-07-19
95453,17,8,2020,3,2,2020-08-17
95472,9,4,2021,2,1,2021-04-09
95492,23,11,2019,4,2,2019-11-23
95494,19,10,2019,4,2,2019-10-19
95509,19,8,2021,3,2,2021-08-19
95512,22,3,2021,1,1,2021-03-22
95518,1,2,2020,1,1,2020-02-01
95541,4,8,2021,3,2,2021-08-04
95542,12,5,2018,2,1,2018-05-12
95544,27,4,2021,2,1,2021-04-27
95559,11,2,2017,1,1,2017-02-11
95562,8,2,2017,1,1,2017-02-08
95564,8,8,2021,3,2,2021-08-08
95572,10,3,2015,1,1,2015-03-10
95582,10,2,2017,1,1,2017-02-10
95588,26,7,2021,3,2,2021-07-26
95590,2,8,2021,3,2,2021-08-02
95623,4,9,2020,3,2,2020-09-04
95624,6,10,2019,4,2,2019-10-06
95642,17,5,2020,2,1,2020-05-17
95665,1,11,2020,4,2,2020-11-01
95679,4,8,2020,3,2,2020-08-04
95703,2,9,2020,3,2,2020-09-02
95711,14,5,2021,2,1,2021-05-14
95740,9,9,2021,3,2,2021-09-09
95742,9,7,2021,3,2,2021-07-09
95746,24,11,2020,4,2,2020-11-24
95760,10,7,2021,3,2,2021-07-10
95762,25,1,2016,1,1,2016-01-25
95764,27,7,2021,3,2,2021-07-27
95768,28,7,2021,3,2,2021-07-28
95771,17,5,2014,2,1,2014-05-17
95774,3,8,2019,3,2,2019-08-03
95775,6,8,2019,3,2,2019-08-06
95778,16,7,2021,3,2,2021-07-16
95782,24,9,2015,3,2,2015-09-24
95789,7,5,2020,2,1,2020-05-07
95792,11,9,2017,3,2,2017-09-11
95795,29,6,2010,2,1,2010-06-29
95796,28,3,2021,1,1,2021-03-28
95811,25,7,2020,3,2,2020-07-25
95832,23,8,2021,3,2,2021-08-23
95858,20,7,2021,3,2,2021-07-20
95887,9,8,2019,3,2,2019-08-09
95889,4,8,2019,3,2,2019-08-04
95909,24,7,2010,3,2,2010-07-24
95918,17,8,2019,3,2,2019-08-17
95927,22,5,2021,2,1,2021-05-22
95933,6,6,2021,2,1,2021-06-06
95938,22,3,2017,1,1,2017-03-22
95939,10,1,2017,1,1,2017-01-10
95945,2,3,2017,1,1,2017-03-02
95946,30,10,2014,4,2,2014-10-30
95947,3,3,2017,1,1,2017-03-03
95956,8,9,2018,3,2,2018-09-08
95970,13,7,2021,3,2,2021-07-13
95974,18,7,2020,3,2,2020-07-18
95989,22,7,2021,3,2,2021-07-22
95991,23,7,2021,3,2,2021-07-23
96019,28,7,2020,3,2,2020-07-28
96043,21,7,2020,3,2,2020-07-21
96066,21,12,2015,4,2,2015-12-21
96115,25,11,2016,4,2,2016-11-25
96139,9,6,2021,2,1,2021-06-09
96142,4,11,2019,4,2,2019-11-04
96158,12,5,2021,2,1,2021-05-12
96246,28,3,2015,1,1,2015-03-28
96263,10,9,2021,3,2,2021-09-10
96289,29,8,2020,3,2,2020-08-29
96296,29,6,2021,2,1,2021-06-29
96308,12,12,2020,4,2,2020-12-12
96309,2,7,2021,3,2,2021-07-02
96314,13,3,2021,1,1,2021-03-13
96335,3,8,2021,3,2,2021-08-03
96337,11,5,2010,2,1,2010-05-11
96339,27,1,2019,1,1,2019-01-27
96344,20,10,2018,4,2,2018-10-20
96363,6,5,2018,2,1,2018-05-06
96371,5,9,2020,3,2,2020-09-05
96382,26,11,2019,4,2,2019-11-26
96413,21,5,2018,2,1,2018-05-21
96423,21,6,2021,2,1,2021-06-21
96424,8,5,2018,2,1,2018-05-08
96444,24,4,2019,2,1,2019-04-24
96490,18,4,2019,2,1,2019-04-18
96506,19,2,2019,1,1,2019-02-19
96510,20,5,2018,2,1,2018-05-20
96523,1,5,2015,2,1,2015-05-01
96539,25,3,2014,1,1,2014-03-25
96542,26,1,2012,1,1,2012-01-26
96558,3,6,2020,2,1,2020-06-03
96559,15,2,2019,1,1,2019-02-15
96590,21,11,2020,4,2,2020-11-21
96653,2,5,2018,2,1,2018-05-02
96671,3,8,2018,3,2,2018-08-03
96725,11,9,2020,3,2,2020-09-11
96730,16,10,2020,4,2,2020-10-16
96732,23,2,2020,1,1,2020-02-23
96749,10,6,2020,2,1,2020-06-10
96762,16,12,2017,4,2,2017-12-16
96772,12,1,2021,1,1,2021-01-12
96774,24,4,2015,2,1,2015-04-24
96784,11,10,2020,4,2,2020-10-11
