id_camera,id_categoria,id_lente,id_imagem
4144,44,5024,84906
4144,44,5024,84909
4274,44,5222,84910
4274,44,5222,84911
4274,44,5222,84912
4274,44,5222,84913
4274,44,5222,84914
4274,44,5222,84915
4274,44,5222,84926
4274,44,5222,84927
4274,44,5222,84928
4122,42,5024,85012
4144,44,5024,84929
4144,44,5024,84930
4144,44,5024,84931
4144,44,5024,84932
4144,44,5024,84933
4144,44,5024,84934
4144,44,5024,84935
4144,44,5024,84936
4144,44,5024,84937
4144,44,5024,84938
4205,44,5015,84939
4144,44,5024,84941
4144,44,5024,84942
4144,44,5024,84943
4342,42,4957,85194
4433,45,5196,86882
4144,44,5024,84944
4144,44,5024,84945
4144,44,5024,84946
4144,44,5024,84947
4144,44,5024,84948
4144,44,5024,84949
4144,44,5024,84950
4144,44,5024,84951
4205,44,5015,84952
4131,45,5426,84953
4144,44,5024,84955
4144,44,5024,84956
4144,44,5024,84957
4144,44,5024,84958
4144,44,5024,84959
4097,44,5421,85338
4144,44,5024,84960
4144,44,5024,84961
4144,44,5024,84962
4144,44,5024,84963
4144,44,5024,84964
4144,44,5024,84965
4205,44,5015,84966
4392,42,4962,84968
4408,42,5024,84969
4144,44,5024,84970
4144,44,5024,84971
4144,44,5024,84972
4144,44,5024,84973
4144,44,5024,84974
4144,44,5024,84975
4144,44,5024,84976
4144,44,5024,84977
4144,44,5024,84978
4144,44,5024,84979
4144,44,5024,84980
4205,44,5015,84981
4144,42,5126,84982
4097,42,5025,84983
4097,42,5230,84984
4144,44,5024,84985
4144,44,5024,84986
4144,44,5024,84987
4144,44,5024,84988
4144,44,5024,84989
4144,44,5024,84990
4144,44,5024,84991
4144,44,5024,84992
4144,44,5024,84993
4323,45,5412,86987
4144,44,5024,84994
4144,44,5024,84995
4205,44,5015,84996
4442,42,5359,84997
4144,44,5024,84998
4144,44,5024,84999
4144,44,5024,85000
4144,44,5024,85001
4144,44,5024,85002
4144,44,5024,85003
4144,44,5024,85004
4144,44,5024,85005
4144,44,5024,85006
4144,44,5024,85007
4144,44,5024,85008
4205,44,5015,85009
4325,43,5378,85010
4144,44,5024,85013
4144,44,5024,85014
4144,44,5024,85015
4144,44,5024,85016
4144,44,5024,85017
4144,44,5024,85018
4144,44,5024,85019
4144,44,5024,85020
4144,44,5024,85021
4144,44,5024,85022
4144,44,5024,85023
4205,44,5015,85024
4342,42,5141,85026
4207,42,5089,85027
4144,44,5024,85028
4144,44,5024,85029
4433,45,5196,86988
4144,44,5024,85030
4144,44,5024,85031
4144,44,5024,85032
4144,44,5024,85033
4144,44,5024,85034
4144,44,5024,85035
4144,44,5024,85036
4144,44,5024,85037
4144,44,5024,85038
4205,44,5015,85039
4323,42,5395,85040
4207,42,5089,85041
4144,44,5024,85042
4144,44,5024,85043
4144,44,5024,85044
4144,44,5024,85045
4091,43,5282,85195
4144,44,5024,85046
4144,44,5024,85047
4144,44,5024,85048
4144,44,5024,85049
4144,44,5024,85050
4144,44,5024,85051
4144,44,5024,85052
4205,44,5015,85053
4205,43,5021,85054
4144,44,5024,85055
4144,44,5024,85056
4144,44,5024,85057
4144,44,5024,85058
4144,44,5024,85059
4144,44,5024,85060
4144,44,5024,85061
4144,44,5024,85062
4144,44,5024,85063
4144,44,5024,85064
4144,44,5024,85065
4144,44,5024,85066
4274,44,5222,85067
4342,42,4957,85069
4144,44,5024,85070
4144,44,5024,85071
4144,44,5024,85072
4144,44,5024,85073
4144,44,5024,85074
4144,44,5024,85075
4144,44,5024,85076
4144,44,5024,85077
4144,44,5024,85078
4144,44,5024,85079
4144,44,5024,85080
4274,44,5222,85081
4332,43,5057,85082
4088,42,4954,85083
4144,44,5024,85084
4144,44,5024,85085
