,0
0,ResolutionUnit: 2
1,ExifOffset: 350
2,"ImageDescription: Cyclist rides past. Ironman is hosted in Bolton, Greater Manchester where the bike section rides through the city"
3,Make: Canon
4,Model: Canon EOS 6D Mark II
5,Software: Adobe Photoshop Lightroom Classic 10.1 (Windows)
6,DateTime: 2021:07:18 11:25:04
7,XResolution: 240.0
8,YResolution: 240.0
9,ExifVersion: b'0231'
10,ShutterSpeedValue: 8.643856
11,ApertureValue: 6.0
12,DateTimeOriginal: 2021:07:17 16:25:06
13,DateTimeDigitized: 2021:07:17 16:25:06
14,ExposureBiasValue: 0.0
15,MaxApertureValue: 4.0
16,MeteringMode: 5
17,ColorSpace: 1
18,Flash: 16
19,FocalLength: 24.0
20,ExposureMode: 0
21,WhiteBalance: 0
22,SceneCaptureType: 0
23,FocalPlaneXResolution: 1736.6716613769531
24,FocalPlaneYResolution: 1736.6716613769531
25,SubsecTimeOriginal: 58
26,SubsecTimeDigitized: 58
27,FocalPlaneResolutionUnit: 3
28,ExposureTime: 0.0025
29,FNumber: 8.0
30,ExposureProgram: 3
31,CustomRendered: 0
32,ISOSpeedRatings: 1250
33,BodySerialNumber: 073051002059
34,"LensSpecification: (24.0, 105.0, nan, nan)"
35,LensModel: EF24-105mm f/4L IS USM
36,LensSerialNumber: 000019cedc
